from_date,station_id,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,SR,BP,PM2.5,NMHC,THC,PM10,NO,NO2,NOx,NH3,SO2,CO,month,is_festival,is_secondary_event,is_local_event,hour,day_of_week,is_weekend,is_winter,is_early_month,PM25_lag_1,PM25_lag_6,PM25_lag_24,is_peak_hour
2025-01-02 11:00:00,RVCE_Mailsandra,22.21,1.82,0.79,0.87,0.72,37.11,2.21,235.42,,,0.94,0.0,25.57,68.37,6.04,21.87,29.04,25.17,4.58,0.68,1,0,0,0,11,3,0,1,1,0.0,0.0,0.925,1
2025-01-02 12:00:00,Silkboard,21.42,0.9,1.95,,,27.72,49.75,,716.75,,33.25,,,108.25,1.25,14.1,8.47,1.95,9.03,0.41,1,0,0,0,12,3,0,1,1,37.75,46.5,,0
2025-01-02 12:00:00,Peenya,32.37,0.85,1.45,,0.41,,,29.95,561.5,952.61,19.64,,,38.61,6.35,16.44,22.79,11.35,7.19,0.57,1,0,0,0,12,3,0,1,1,18.42,43.87,46.84,0
2025-01-02 12:00:00,RVCE_Mailsandra,22.55,1.86,0.86,0.83,0.8,32.72,2.58,264.34,,,1.04,0.0,26.23,75.79,6.13,22.55,28.63,25.97,4.54,0.71,1,0,0,0,12,3,0,1,1,0.94,0.0,1.285,0
2025-01-02 13:00:00,Peenya,33.22,0.83,1.44,,0.41,,,27.45,501.06,952.34,35.31,,,69.34,7.2,16.58,23.69,12.2,7.35,0.57,1,0,0,0,13,3,0,1,1,19.64,42.88,45.91,0
2025-01-02 13:00:00,RVCE_Mailsandra,21.93,1.79,0.76,0.8,0.76,30.09,2.51,266.09,,,0.74,0.0,26.84,84.12,5.96,21.65,28.34,25.52,4.49,0.5,1,0,0,0,13,3,0,1,1,1.04,0.0,0.94,0
2025-01-02 13:00:00,Silkboard,21.03,0.9,1.95,,,27.88,48.5,,715.5,,30.75,,,100.25,1.57,14.35,8.92,1.8,9.07,0.47,1,0,0,0,13,3,0,1,1,33.25,54.0,,0
2025-01-02 14:00:00,Silkboard,21.47,0.9,2.05,,,28.07,47.0,,714.5,,30.75,,,100.75,1.45,14.15,8.7,1.8,9.4,0.49,1,0,0,0,14,3,0,1,1,30.75,61.0,29.0,0
2025-01-02 14:00:00,Peenya,32.81,0.84,1.43,,0.42,,,27.03,392.97,952.14,38.14,,,74.89,6.64,16.62,23.47,11.64,6.55,0.58,1,0,0,0,14,3,0,1,1,35.31,44.83,41.89,0
2025-01-02 14:00:00,RVCE_Mailsandra,22.05,1.8,0.82,0.9,0.77,29.05,2.24,249.36,,,0.395,0.0,26.97,84.65,7.87,26.95,35.84,29.15,4.49,0.79,1,0,0,0,14,3,0,1,1,0.74,0.0,0.555,0
2025-01-02 15:00:00,RVCE_Mailsandra,22.48,1.85,0.8,0.86,0.77,31.02,2.77,279.53,,,0.19,0.0,26.39,83.93,9.3,30.12,40.04,31.44,4.58,0.64,1,0,0,0,15,3,0,1,1,0.395,0.0,0.21,0
2025-01-02 15:00:00,Silkboard,20.88,0.9,1.98,,,28.2,47.0,,714.0,,32.25,,,102.25,1.55,14.2,8.85,1.85,9.23,0.52,1,0,0,0,15,3,0,1,1,30.75,52.75,,0
2025-01-02 15:00:00,Peenya,33.8,0.85,1.43,,0.42,,,27.0,199.24,952.05,39.03,,,76.62,7.0,17.31,24.47,12.0,7.1,0.59,1,0,0,0,15,3,0,1,1,38.14,49.89,46.65,0
2025-01-02 16:00:00,RVCE_Mailsandra,22.24,1.83,0.82,0.88,0.72,32.32,2.46,267.1,,,0.0,0.0,25.97,85.43,9.23,30.33,40.2,30.99,4.27,0.77,1,0,0,0,16,3,0,1,1,0.19,0.0,0.05,0
